"","gene_names"
"820","ENSMUSG00000027575"
"821","ENSMUSG00000047841"
"822","ENSMUSG00000038671"
"823","ENSMUSG00000000827"
"824","ENSMUSG00000000826"
"825","ENSMUSG00000000823"
"826","ENSMUSG00000002455"
"827","ENSMUSG00000038605"
"828","ENSMUSG00000059540"
"829","ENSMUSG00000045794"
"830","ENSMUSG00000038628"
"831","ENSMUSG00000050089"
"832","ENSMUSG00000084349"
"833","ENSMUSG00000023257"
"834","ENSMUSG00000016427"
"835","ENSMUSG00000071748"
"836","ENSMUSG00000035522"
"837","ENSMUSG00000100104"
"838","ENSMUSG00000095597"
"839","ENSMUSG00000025289"
"840","ENSMUSG00000103034"
"841","ENSMUSG00000040269"
"842","ENSMUSG00000049230"
"843","ENSMUSG00000027528"
"844","ENSMUSG00000027531"
"845","ENSMUSG00000027550"
"846","ENSMUSG00000027562"
"847","ENSMUSG00000027564"
"848","ENSMUSG00000027599"
"849","ENSMUSG00000027601"
"850","ENSMUSG00000069094"
"851","ENSMUSG00000027606"
"852","ENSMUSG00000027630"
"853","ENSMUSG00000039335"
"854","ENSMUSG00000097584"
"855","ENSMUSG00000039221"
"856","ENSMUSG00000037730"
"857","ENSMUSG00000027702"
"858","ENSMUSG00000097786"
"859","ENSMUSG00000027706"
"860","ENSMUSG00000037661"
"861","ENSMUSG00000027667"
"862","ENSMUSG00000027668"
"863","ENSMUSG00000027671"
"864","ENSMUSG00000037531"
"865","ENSMUSG00000027673"
"866","ENSMUSG00000027677"
"867","ENSMUSG00000027676"
"868","ENSMUSG00000027680"
"869","ENSMUSG00000027679"
"870","ENSMUSG00000105662"
"871","ENSMUSG00000037400"
"872","ENSMUSG00000027708"
