"","pst_PC","pst_Monocle"
"1376",0.622536061915416,0.361681792944472
"1380",0.744807250931965,0.500814969634546
"1384",0.185017414756928,0.0197997226162012
"1389",0.0932203268412663,0.0127006652133414
"1393",0.325031958706299,0.103203034866602
"1394",0.54946997680268,0.294410896430101
"1403",0.69319225322451,0.439520596768057
"1404",0.511520417253799,0.254764589759978
"1410",0.72145380730428,0.474141486794611
"1415",0.299286373448943,0.0713732582737334
"1419",0.82687576388733,0.5465056422129
"1422",0.872158418947266,0.5492151670102
"1424",0.178728561838456,0.0185792698259237
"1425",0.720174736373765,0.47789240519347
"1429",0.857767981233978,0.548163924164139
"1430",0.02959218189319,0.00520023760880896
"1431",0.690332914684807,0.438558429499872
"1434",0.528009865970629,0.274867103939935
"1445",0.218194522143827,0.0226912245930802
"1447",0.556267068364719,0.298698048818579
"1450",0.336256623409045,0.117281993128938
"1451",0.381246769083595,0.165064657453398
"1454",0.553789041458393,0.299263574764242
"1455",0.860434453622624,0.547858865912449
"1458",0.169884833122199,0.0179369736424183
"1464",0.872158418947266,0.548908230369967
"1470",0.491334190600337,0.248440309797177
"1473",0.754770563208599,0.515807256073851
"1478",0.848497143724595,0.548589011267551
"1493",0.713615740990922,0.466508810966059
"1496",0.295243713357189,0.0713977402981079
"1503",0.263527887086488,0.0360583045653574
"1508",0.216569929014003,0.0227816085535679
"1512",0.517910410937411,0.259978598582641
"1522",0.872158418947266,0.548606158576679
"1523",0.751813564513627,0.511974962238757
"1529",0.872158418947266,0.54902760670561
"1534",0.561338536505524,0.308280054543859
"1536",0.339268533268846,0.121641023061805
"1540",0.570083580348005,0.31294800891068
"1546",0.143349876122514,0.0156507106179812
"1547",0.630290194267971,0.369902306938876
"1550",0.857514644962168,0.549327602561519
"1551",0.765195107075967,0.530174773493211
"1553",0.509980398239034,0.259215463009933
"1557",0.872158418947266,0.547775155534751
"1558",0.36789990809961,0.150287074759791
"1570",0.846852821341787,0.54853484881732
"1574",0.670693194414879,0.415383472387661
"1576",0.346535994662634,0.126517710494178
"1580",0.870517540602521,0.548998086955216
"1584",0.175500492176958,0.0183303142158008
